object_counts,physics_update_elapsed_time,render_elapsed_time
10450,3765,191
10460,3083,187
10470,3077,177
10480,4381,273
10490,3059,235
10500,3510,205
10510,3738,222
10520,3783,267
10530,3833,216
10540,3545,232
10550,3042,220
10560,4393,180
10570,3864,215
10580,3613,206
10590,3936,216
10600,4221,226
10610,3490,167
10620,3536,152
10630,4109,222
10640,3870,211
10650,3547,195
10660,3994,243
10670,3188,199
10680,4365,256
10690,4102,232
10700,3865,208
10710,4200,225
10720,3464,239
10730,3306,216
10740,4106,216
10750,3894,229
10760,4055,195
10770,4134,216
10780,3701,221
10790,3581,204
10800,3892,250
10810,3227,218
10820,3832,241
10830,4446,206
10840,4029,243
10850,4013,252
10860,3880,261
10870,4109,228
10880,4230,243
10890,4245,257
10900,4235,229
10910,3521,202
10920,4120,254
10930,3640,215
10940,3581,250
10950,4151,206
10960,3826,238
10970,4030,425
10980,3690,193
10990,3964,208
11000,4117,247
11010,4212,257
11020,3807,209
11030,3585,216
11040,3793,143
11050,4254,298
11060,3474,215
11070,4143,208
11080,3905,218
11090,3654,207
11100,3752,219
11110,4243,253
11120,3644,192
11130,3567,205
11140,3580,200
11150,3976,219
11160,3781,200
11170,4243,180
11180,4095,218
11190,3500,188
11200,3758,208
11210,3782,160
11220,3479,236
11230,3704,206
11240,4217,252
11250,3760,241
11260,4255,178
11270,3813,211
11280,4243,255
11290,4097,257
11300,3247,227
11310,3742,234
11320,3652,229
11330,3647,256
11340,4233,249
11350,4215,240
11360,4381,219
11370,3897,255
11380,3956,243
11390,3919,229
11400,4076,266
11410,3621,226
11420,3619,230
11430,4227,233
11440,3694,216
11450,4256,256
11460,4164,240
11470,3890,194
11480,4313,245
11490,4121,259
11500,4253,252
11510,3701,208
11520,4299,244
11530,3589,223
11540,4280,255
11550,4479,273
11560,4427,226
11570,4406,233
11580,4273,259
11590,4154,255
11600,4193,183
11610,3754,158
11620,4451,203
11630,4145,240
11640,4619,272
11650,3791,203
11660,3841,215
11670,4032,187
11680,3999,219
11690,4156,247
11700,4361,234
11710,4078,241
11720,4097,279
11730,4438,258
