object_counts,physics_update_elapsed_time,render_elapsed_time
14080,13490,394
14090,13419,377
14100,13405,380
14110,13511,379
14120,13413,377
14130,12884,361
14140,13240,383
14150,12868,387
14160,13491,378
14170,12779,384
14180,13152,407
14190,13285,394
14200,13499,386
14210,13419,377
14220,12846,385
14230,13252,394
14240,13155,380
14250,13156,376
14260,13394,387
14270,16588,316
14280,12832,368
14290,13259,379
14300,13085,386
14310,13177,379
14320,13264,384
14330,13179,385
14340,13305,413
14350,13442,395
14360,13115,390
14370,13270,384
14380,13526,384
14390,13476,403
14400,13027,399
14410,13363,392
14420,13143,519
14430,13537,391
14440,13505,384
14450,13092,381
14460,13507,390
14470,13798,387
14480,13309,387
14490,13899,381
14500,13405,405
14510,13836,389
14520,13611,384
14530,13888,387
14540,13865,394
14550,13885,317
14560,13989,399
14570,13866,382
14580,13936,392
14590,13462,382
14600,13809,384
14610,13896,402
14620,14005,396
14630,14115,404
14640,14094,397
14650,13951,391
14660,13908,321
14670,13897,396
14680,13976,390
14690,14078,402
14700,14027,404
14710,13441,402
14720,13749,392
14730,13784,394
14740,13892,405
14750,13766,398
14760,13636,389
14770,13691,400
14780,13659,403
14790,13756,414
14800,13740,390
14810,13883,392
14820,13687,397
14830,13926,391
14840,14081,405
14850,13934,422
14860,13902,396
14870,14101,398
14880,13943,387
14890,14212,387
14900,13462,396
14910,14051,400
14920,14204,402
14930,14376,395
14940,13686,411
14950,14119,393
14960,14148,392
14970,14243,395
14980,13888,420
14990,14442,400
15000,13947,406
15010,14502,404
15020,14142,407
15030,14032,404
15040,14506,434
15050,14528,405
15060,14197,413
15070,14171,400
15080,14651,405
15090,14403,448
15100,17789,412
15110,13991,320
15120,14389,389
15130,13703,405
15140,14336,401
15150,13872,406
15160,14514,431
15170,17810,359
15180,14049,424
15190,14211,397
15200,13856,406
15210,14183,409
15220,14370,407
15230,13902,408
15240,14302,399
15250,17531,419
15260,13836,356
15270,14395,393
15280,14204,411
15290,13765,398
15300,14137,415
15310,14297,403
15320,13770,415
15330,14044,399
15340,13827,425
15350,14548,414
15360,14067,412
15370,14308,407
15380,13907,409
15390,14141,431
15400,14470,411
15410,14143,409
15420,17607,426
15430,13989,388
15440,14320,392
15450,14175,424
15460,14577,419
15470,14092,406
15480,14917,417
15490,14600,432
15500,14270,397
15510,14254,404
15520,14315,416
15530,14331,409
15540,14311,419
15550,14397,395
15560,17965,341
15570,14506,331
15580,14230,401
15590,14233,424
15600,14297,409
15610,14357,408
15620,14449,426
15630,14614,412
15640,14520,412
15650,18370,430
15660,14607,415
15670,14438,403
