object_counts,gpu_elapsed_time,physics_update_elapsed_time,render_elapsed_time
8220,1207.3,1639,183
8240,1201.15,1604,207
8260,1285.12,1955,161
8280,1400.83,2143,189
8300,1349.63,2113,201
8320,1253.38,1923,179
8340,1240.06,1969,161
8360,1221.63,1617,188
8380,1360.9,2002,164
8400,1444.86,1860,168
8420,1547.26,2192,166
8440,1536,2181,247
8460,1409.02,1854,197
8480,1290.24,1772,216
8500,1330.18,2050,259
8520,1444.86,2191,189
8540,1376.26,2014,161
8560,1300.48,1973,179
8580,1254.4,1897,167
8600,1161.22,1594,185
8620,1254.4,1890,163
8640,1326.08,2007,181
8660,1331.2,2049,206
8680,1245.18,1690,190
8700,1277.95,2005,187
8720,1222.66,1666,187
8740,1277.95,1951,171
8760,1300.48,1961,168
8780,1403.9,2058,163
8800,1463.3,2128,158
8820,1335.3,1746,219
8840,1290.24,1699,354
8860,1384.45,2117,194
8880,1498.11,2182,182
8900,1504.26,2186,165
8920,1632.26,2330,167
8940,1768.45,2430,173
8960,1677.31,2125,176
8980,1648.64,2625,170
9000,1500.16,2403,178
9020,1341.44,2208,177
9040,1280,1980,186
9060,1377.28,1988,168
9080,1424.38,2021,216
9100,1568.77,2422,171
9120,1432.58,2035,196
9140,1518.59,2474,179
9160,1566.72,2595,177
9180,1576.96,2373,183
9200,1606.66,2607,216
9220,1609.73,2869,198
9240,1538.05,2722,174
9260,1539.07,2554,168
9280,1584.13,2710,171
9300,1573.89,2724,181
9320,1582.08,2537,200
9340,1767.42,2408,180
9360,1576.96,2544,233
9380,1702.91,2772,206
9400,1737.73,2960,201
9420,1792,2716,203
9440,1598.46,2577,208
9460,1641.47,2855,185
9480,1556.48,2734,187
9500,1589.25,2602,169
9520,1527.81,2649,170
9540,1547.26,2206,193
9560,1631.23,2658,204
9580,1635.33,2459,195
9600,1726.46,2904,188
9620,1648.64,2404,180
9640,1719.3,2576,176
9660,1712.13,2604,169
9680,1707.01,2311,181
9700,1932.29,2908,209
9720,1907.71,3027,208
9740,1781.76,2850,196
9760,1674.24,2616,191
9780,1709.06,2722,188
